t,data0,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data1,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data2,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
126,29718080,22041163,28542439,31143656,31216742,31107727,30907283,30712165,30548738,68329600,28789700,44407013,59866403,62740649,63181680,63639540,64219547,64788821,86192000,1194021,2381333,5903016,11638304,22605696,32902176,42527744,51482400,
127,30097760,22121728,28573545,31091361,31104843,30905733,30664426,30466403,30323249,72178720,29223590,44962447,60482018,63684456,64981088,66201294,67403216,68483770,112509120,2307171,4583888,11233321,21725385,40586380,56784259,70520294,81995760,
128,31175520,22212265,28625584,31095568,31111910,30959690,30817754,30750049,30749384,66823360,29599587,45399665,60799085,63998346,65349542,66387913,67171273,67653565,109631840,3380417,6684847,16153246,30516030,54395472,72638533,86164912,95813800,
129,27881600,22268958,28610704,30934869,30788879,30344072,29936907,29602669,29315492,77907040,30082661,46049812,61654482,65389215,67861041,69843651,71465579,72780302,94399200,4290604,8439134,20065543,36904347,62396217,79166733,89458627,95106500,
130,31004160,22356310,28658573,30938333,30810407,30476089,30257082,30163265,30159826,53317760,30315011,46195170,61237645,64182069,64952384,64885883,64206451,63049031,96768480,5215382,10205720,23900689,42890760,69270669,84447257,92382568,95937490,
131,30582880,22438575,28697059,30920560,30787654,30497447,30354821,30331111,30371353,62451840,30636379,46520303,61298354,64009046,64452275,64155670,63504606,62750435,96261760,6125845,11926840,27518742,48227860,74668887,87991607,93934244,96099625,
132,30311040,22517299,28729338,30890084,30739992,30460165,30341686,30323082,30341196,53643840,30866453,46662773,60915628,62972525,62290588,61002121,59560299,58197137,77390240,6838488,13236108,30012316,51144098,75213157,84811196,87316642,86744932,
133,32413440,22616260,28803020,30966251,30907336,30850820,30963212,31159225,31377318,54727040,31105058,46824058,60606198,62147976,60777878,59119596,57626995,56462088,108933920,7859442,15150064,33958396,56923080,81957309,92048013,95963553,97839426,
134,30540160,22695499,28837762,30944946,30870618,30788688,30836296,30911599,30958739,39594560,31189953,46679468,59555616,59892634,56541214,53262085,50414021,48028324,96874240,8749589,16784547,37104188,60918196,84940695,93495881,96327827,97356833,
135,30064640,22769190,28862299,30900930,30790020,30643878,30604799,30572815,30511689,77836320,31656416,47302605,60469651,61687002,60800235,60634355,61382940,62932322,90414400,9566237,18257144,39769698,63867816,86035436,92571436,93962456,93885616,
136,30892480,22850422,28902902,30900507,30800266,30693598,30691103,30700681,30702084,79512640,32134978,47946805,61421800,63469565,64542716,66297840,68634820,71222481,110424640,10574821,20100493,43302445,68523498,90913276,97927397,100547329,102155128,
137,28517120,22907088,28895186,30781337,30571951,30258302,30038908,29827256,29609602,57310720,32386735,48134083,61216246,62853680,63096316,63601704,64105180,64266600,103668480,11505757,21771852,46320746,72037996,93464316,99649721,101795789,102911804,
138,29061760,22968634,28898517,30695358,30420931,30018993,29745763,29521057,29335681,63860960,32701477,48448620,61348481,62954408,63249244,63679480,64007492,64063780,83035200,12221051,22997118,48156468,73137716,91378492,94665364,94291553,92973502,
139,31832000,23057267,28957186,30752190,30562037,30381594,30371634,30445434,30583840,50238080,32876843,48484409,60792960,61682775,60647011,59647060,58499727,57150930,106848320,13167323,24674142,51091060,76508776,94472457,98320250,99314259,99910911,
140,27225280,23098947,28922547,30575844,30228361,29750331,29427727,29157372,28904560,54674080,33094815,48608202,60487016,60981905,59452424,58155166,56969468,55912505,81280000,13848449,25806259,52600507,76985898,91833965,93208175,92100555,90595455,
141,30199360,23169951,28948083,30557019,30225460,29840136,29659216,29574167,29551960,53558400,33299450,48707205,60140585,60239554,58273619,56776136,55605040,54735452,83205280,14542017,26954239,54130745,77607836,90108228,90207306,88542445,86900367,
142,32066880,23258920,29010458,30632512,30409602,30285484,30381515,30571252,30809420,74820800,33714663,49229476,60874595,61697678,61583055,62189535,63291344,64778126,86672320,15263320,28148600,55757823,78514284,89421046,89146810,87794395,86786343,
143,30347840,23329809,29037205,30618278,30403425,30297955,30371412,30481887,30578630,50073760,33878253,49246361,60334553,60535286,59281196,58554802,58004310,57425943,90999680,16020683,29405621,57519915,79762823,89736772,89702671,89076509,88893011,
144,33401280,23430523,29124486,30757428,30703210,30918620,31280372,31649644,31989955,87680960,34416280,50015052,61701873,63249853,64961148,67292649,69874970,72553451,74035520,16600831,30298218,58345695,79190092,86596521,85002525,83060113,81464265,
145,30066880,23496886,29143333,30722900,30639577,30748272,30916324,31016538,31028417,68890240,34761019,50392555,62061291,63813891,65746966,67771926,69481078,70721845,91715680,17351979,31526567,60014194,80442650,87620352,87016471,86522339,86589972,
146,30892480,23570841,29178315,30731379,30664867,30777113,30909170,30966914,30960448,52618880,34939597,50437081,61589170,62694389,63121348,63226012,62736198,61670362,89196800,18070427,32679971,61473324,81318065,87935641,87670569,87592123,87893386,
147,30118720,23636319,29197123,30700746,30610252,30645434,30672035,30627636,30539584,70998720,35300188,50848313,62059647,63524822,64696822,65557824,66041206,66334541,89724160,18786964,33820854,62885865,82158674,88293344,88286646,88444937,88808773,
