EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
187,8951040,8912761,10327139,10542240,10465254,10189023,9907293,9687404,9529820,
188,10567200,8929305,10331940,10543488,10475448,10264658,10105265,10039322,10048510,
189,10940160,8949413,10344104,10563321,10521919,10399758,10355733,10399657,10494335,
190,10069920,8960618,10338620,10538650,10476719,10333790,10269989,10267762,10282127,
191,12929280,9000304,10390433,10658181,10721975,10852888,11067776,11332369,11605703,
192,9821280,9008513,10379049,10616335,10631905,10646566,10693827,10727933,10713491,
193,8080800,8999235,10333084,10489558,10376794,10133412,9909918,9669079,9397145,
194,11934720,9028589,10365116,10561816,10532586,10493673,10517358,10575335,10665932,
195,8951040,9027813,10336834,10481277,10374431,10185146,10047462,9925617,9808486,
196,10691520,9044450,10343927,10491789,10406139,10286420,10240679,10231978,10250003,
197,13053600,9084541,10398120,10619879,10670885,10839856,11084555,11360626,11651801,
198,10684160,9100537,10403840,10623093,10672212,10808716,10964436,11090039,11167980,
199,11942080,9128952,10434604,10689042,10799198,11035388,11257729,11430855,11555030,
200,10442880,9142091,10434769,10676733,10763566,10916886,11013274,11035665,10998955,
201,7956480,9130234,10385203,10540720,10482857,10324804,10096235,9803991,9477717,
202,11064480,9149576,10398788,10566908,10541019,10472739,10386708,10308186,10271098,
203,11188800,9169968,10414588,10598002,10605797,10615951,10627335,10660431,10729949,
204,9199680,9170265,10390289,10528085,10465185,10332696,10199038,10076130,9964814,
205,10940160,9187963,10401286,10548688,10512682,10454188,10421374,10421742,10452487,
206,10691520,9202998,10407090,10555829,10530565,10501654,10502417,10529653,10572003,
207,12556320,9236531,10450074,10655853,10733140,10912587,11118587,11340319,11564161,
208,9572640,9239892,10432525,10601692,10617090,10644597,10654802,10633247,10568400,
209,12059040,9268083,10465055,10674559,10761285,10927485,11076073,11203564,11313720,
210,9821280,9273614,10452179,10631895,10667284,10706244,10699635,10650650,10567500,
211,10069920,9281577,10444533,10603796,10607547,10578979,10510720,10418358,10318710,
212,9572640,9284487,10427095,10552238,10504056,10377711,10229296,10080070,9945675,
213,10442880,9296070,10427410,10546770,10497938,10390744,10293371,10225194,10194277,
214,11934720,9322456,10457556,10616167,10641616,10699539,10785775,10909004,11064498,
215,11561760,9344849,10479640,10663446,10733630,10871983,11018570,11170106,11313129,
216,10567200,9357072,10481391,10658633,10716987,10811026,10883159,10928943,10940164,
217,13302240,9396523,10537807,10790813,10975512,11309268,11608883,11878261,12121202,
218,9199680,9394554,10511044,10711256,10797928,10887350,10886122,10806828,10660441,
219,11686080,9417469,10534544,10759997,10886743,11047096,11126109,11158528,11173260,
220,12556320,9448857,10574979,10849813,11053700,11348940,11555172,11717644,11864790,
221,11313120,9467499,10589741,10872978,11079642,11341776,11482556,11555834,11588955,
222,10442880,9477252,10586803,10851473,11015965,11161996,11170653,11110652,11015917,
223,12307680,9505556,10621220,10924283,11145136,11391132,11511761,11589463,11661798,
224,10940160,9519902,10627598,10925076,11124638,11300937,11340280,11329741,11300979,
225,10691520,9531618,10628876,10913398,11081326,11179053,11145652,11074452,10996249,
226,11188800,9548189,10640074,10927168,11092073,11181002,11158596,11120191,11092524,
227,11064480,9563351,10648562,10934033,11089313,11157697,11130361,11097906,11078502,
228,11561760,9583335,10666825,10965419,11136557,11238509,11259780,11283447,11320131,
229,11188800,9599389,10677264,10976588,11141781,11228567,11238486,11245588,11254465,
230,12432000,9627715,10712358,11049358,11270802,11469253,11596540,11720152,11843232,
231,11437440,9645812,10726859,11068762,11287465,11462890,11548810,11607067,11640336,
232,11437440,9663728,10741070,11087195,11302462,11457800,11515399,11539216,11538888,
233,9945600,9666546,10725160,11030115,11166775,11155360,11044459,10901769,10742244,
234,10069920,9670579,10712055,10982105,11057089,10938272,10752097,10569029,10406082,
235,11064480,9684518,10719103,10986223,11057828,10963513,10845811,10767209,10735281,
236,8702400,9674696,10678768,10872031,10822285,10511290,10202787,9941285,9718840,
237,9945600,9677405,10664104,10825709,10734616,10398152,10125630,9943011,9832220,
238,9199680,9672627,10634815,10744407,10581122,10158457,9847845,9645678,9515950,
239,8205120,9657951,10586221,10617442,10343521,9767789,9355027,9069454,8860535,
240,9821280,9659584,10570922,10577633,10291296,9778487,9494902,9370184,9340907,
241,11064480,9673632,10580793,10601975,10368614,10035685,9965775,10047902,10202693,
242,10435520,9681250,10577887,10593652,10375304,10115652,10106698,10202949,10319106,
243,9331360,9677751,10552956,10530537,10270909,9958793,9874096,9854313,9825233,
244,7956480,9660538,10501026,10401834,10039466,9558330,9298811,9095179,8890856,
245,12556320,9689495,10542131,10509558,10291151,10157928,10276063,10479635,10723588,
246,8702400,9679624,10505336,10419200,10132275,9866822,9803964,9768741,9712994,
247,9199680,9674824,10479222,10358224,10039015,9733393,9622678,9541116,9456337,
248,11188800,9689963,10493413,10399752,10153993,10024474,10092514,10200189,10322568,
249,9324000,9686303,10470024,10345964,10070993,9884379,9861959,9849713,9823284,
250,10815840,9697598,10476940,10369457,10145477,10070671,10148123,10236163,10319562,
251,9572640,9696348,10458854,10329616,10088193,9971064,9975478,9970753,9946101,
252,10815840,9707542,10465993,10353927,10160957,10140019,10227586,10308787,10380970,
253,11934720,9729813,10495367,10432966,10338333,10498959,10739726,10959160,11157845,
254,9696960,9729484,10479398,10396165,10274195,10338559,10426896,10454280,10427402,
255,10194240,9734131,10473694,10386068,10266199,10309695,10357099,10350264,10310821,
256,12183360,9758623,10507887,10475932,10457915,10684428,10904977,11083502,11247090,
